id_cliente,data_assinatura,valor_mensalidade,total_logs_app_30d,tickets_suporte_abertos,score_sentimento_voc,categoria_principal_voc,churn
C100000,2023-04-13,139,19,0,0.371,API,0
C100001,2024-03-11,101,12,8,-0.232,API,1
C100002,2023-09-28,540,11,1,0.004,SUPORTE,0
C100003,2023-04-17,764,18,2,0.318,BUGS,1
C100004,2023-03-13,675,8,15,-0.718,BUGS,1
C100005,2024-12-01,104,18,0,0.032,FINANCEIRO,1
C100006,2023-01-21,272,14,1,0.405,BUGS,0
C100007,2024-09-06,302,22,3,0.328,SUPORTE,0
C100008,2023-05-02,111,15,0,0.858,BUGS,0
C100009,2024-04-11,513,12,1,1.0,FINANCEIRO,0
C100010,2023-08-03,588,9,1,-0.814,SUPORTE,0
C100011,2023-11-27,430,13,0,0.59,API,0
C100012,2024-04-03,109,16,0,0.44,API,0
C100013,2023-03-29,1729,20,1,0.989,BUGS,0
C100014,2024-01-08,249,11,0,0.056,API,0
C100015,2023-04-10,970,17,2,0.081,FINANCEIRO,1
C100016,2024-10-25,1270,12,1,-0.376,SUPORTE,0
C100017,2023-05-11,359,15,2,0.763,API,1
C100018,2024-10-23,676,17,2,0.338,SUPORTE,0
C100019,2023-11-05,142,12,2,0.783,SUPORTE,1
C100020,2023-12-10,371,8,1,0.015,BUGS,0
C100021,2024-05-06,692,10,21,-1.0,BUGS,1
C100022,2024-02-18,504,16,3,0.574,SUPORTE,1
C100023,2024-01-21,828,12,1,0.101,BUGS,0
C100024,2023-07-11,337,16,1,0.626,API,1
C100025,2023-10-04,970,18,2,0.535,SUPORTE,0
C100026,2023-06-10,214,13,0,0.383,FINANCEIRO,1
C100027,2024-04-04,682,20,1,0.046,API,1
C100028,2023-11-10,309,17,2,0.449,API,0
C100029,2023-01-22,100,16,2,-0.119,SUPORTE,1
C100030,2023-09-10,818,9,20,-0.661,SUPORTE,1
C100031,2024-07-14,267,21,0,1.0,API,1
C100032,2024-04-19,199,14,0,0.96,API,0
C100033,2023-02-28,1135,18,1,0.076,API,0
C100034,2024-05-25,890,16,2,0.396,BUGS,0
C100035,2024-11-12,191,14,0,0.072,FINANCEIRO,0
C100036,2024-04-20,165,12,0,0.461,BUGS,1
C100037,2024-11-30,342,16,0,-0.098,BUGS,0
C100038,2023-07-09,177,14,1,-0.038,BUGS,0
C100039,2024-11-17,1305,10,4,1.0,BUGS,0
C100040,2024-07-16,100,17,1,0.386,FINANCEIRO,0
C100041,2024-07-20,1573,19,2,0.065,BUGS,0
C100042,2023-09-01,664,18,0,-0.684,FINANCEIRO,1
C100043,2024-05-19,754,16,1,0.394,API,0
C100044,2023-05-11,542,12,3,1.0,API,0
C100045,2024-04-29,103,14,0,0.055,FINANCEIRO,0
C100046,2024-10-08,874,17,1,0.128,FINANCEIRO,0
C100047,2023-01-21,513,13,3,0.204,FINANCEIRO,1
C100048,2023-06-16,214,8,14,-0.737,API,1
C100049,2023-10-01,1047,15,3,1.0,API,0
C100050,2024-01-23,993,15,2,0.74,FINANCEIRO,1
C100051,2024-08-23,1050,8,1,0.578,API,0
C100052,2023-11-12,950,12,1,1.0,BUGS,0
C100053,2023-01-14,320,29,1,1.0,BUGS,0
C100054,2023-08-30,740,11,1,0.299,API,0
C100055,2023-12-12,1032,21,1,0.22,BUGS,1
C100056,2024-07-18,958,22,0,0.275,BUGS,1
C100057,2023-12-06,100,9,1,-0.031,SUPORTE,1
C100058,2023-04-02,472,9,0,0.18,FINANCEIRO,1
C100059,2024-01-02,272,18,0,0.124,API,1
C100060,2024-03-30,1294,15,1,-0.263,BUGS,1
